date,equity,cash,holding,shares,weekly_target
2025-08-11,25761.701015627306,3.701015627308,MRVE3,3975,MRVE3
2025-08-12,25801.451015627306,3.701015627308,MRVE3,3975,MRVE3
2025-08-13,27510.701015627306,3.701015627308,MRVE3,3975,MRVE3
2025-08-14,28504.451015627306,3.701015627308,MRVE3,3975,MRVE3
2025-08-15,28464.701015627306,3.701015627308,MRVE3,3975,MRVE3
2025-08-18,28172.972803802004,13.462999880439,RADL3,1646,RADL3
2025-08-19,28011.600254782403,13.462999880439,RADL3,1646,RADL3
2025-08-20,28899.149274390238,13.462999880439,RADL3,1646,RADL3
2025-08-21,29480.090450860829,13.462999880439,RADL3,1646,RADL3
2025-08-22,30141.717901841224,13.462999880439,RADL3,1646,RADL3
2025-08-25,29238.031627331417,13.462999880439,RADL3,1646,RADL3
2025-08-26,29221.894372429459,13.462999880439,RADL3,1646,RADL3
2025-08-27,30061.031627331424,13.462999880439,RADL3,1646,RADL3
2025-08-28,30432.188490076514,13.462999880439,RADL3,1646,RADL3
2025-08-29,28334.345352821616,13.462999880439,RADL3,1646,RADL3
2025-09-01,28495.341785194531,1.421785194530,UGPA3,1442,UGPA3
2025-09-02,28351.141785194530,1.421785194530,UGPA3,1442,UGPA3
2025-09-03,28365.561785194532,1.421785194530,UGPA3,1442,UGPA3
2025-09-04,28466.501785194527,1.421785194530,UGPA3,1442,UGPA3
2025-09-05,30341.101785194529,1.421785194530,UGPA3,1442,UGPA3
2025-09-08,30404.030847089409,5.960847089406,MRVE3,3739,MRVE3
2025-09-09,30179.690847089405,5.960847089406,MRVE3,3739,MRVE3
2025-09-10,28721.480847089406,5.960847089406,MRVE3,3739,MRVE3
2025-09-11,28871.040847089404,5.960847089406,MRVE3,3739,MRVE3
2025-09-12,28272.800847089406,5.960847089406,MRVE3,3739,MRVE3
2025-09-15,28347.580847089404,5.960847089406,MRVE3,3739,MRVE3
2025-09-16,28422.360847089403,5.960847089406,MRVE3,3739,MRVE3
2025-09-17,29207.550847089406,5.960847089406,MRVE3,3739,MRVE3
2025-09-18,28908.430847089407,5.960847089406,MRVE3,3739,MRVE3
2025-09-19,29544.060847089408,5.960847089406,MRVE3,3739,MRVE3
2025-09-22,28990.708334579431,1.451191722284,MGLU3,2808,MGLU3
2025-09-23,29418.594048865143,1.451191722284,MGLU3,2808,MGLU3
2025-09-24,29097.679763150856,1.451191722284,MGLU3,2808,MGLU3
2025-09-25,29472.079763150847,1.451191722284,MGLU3,2808,MGLU3
2025-09-26,29926.708334579427,1.451191722284,MGLU3,2808,MGLU3
2025-09-29,30887.673156426303,2.123156426308,QUAL3,12305,QUAL3
2025-09-30,31133.773156426305,2.123156426308,QUAL3,12305,QUAL3
2025-10-01,30518.523156426309,2.123156426308,QUAL3,12305,QUAL3
2025-10-02,29534.123156426307,2.123156426308,QUAL3,12305,QUAL3
2025-10-03,28672.773156426309,2.123156426308,QUAL3,12305,QUAL3
2025-10-06,28297.547585287059,6.667585287061,CSMG3,838,CSMG3
2025-10-07,28138.327585287061,6.667585287061,CSMG3,838,CSMG3
2025-10-08,27836.647585287061,6.667585287061,CSMG3,838,CSMG3
2025-10-09,27970.727585287059,6.667585287061,CSMG3,838,CSMG3
2025-10-10,28138.327585287061,6.667585287061,CSMG3,838,CSMG3
2025-10-13,28613.034253476570,1.774253476569,QUAL3,12494,QUAL3
2025-10-14,28488.094253476564,1.774253476569,QUAL3,12494,QUAL3
2025-10-15,29487.614253476568,1.774253476569,QUAL3,12494,QUAL3
2025-10-16,29737.494253476565,1.774253476569,QUAL3,12494,QUAL3
2025-10-17,31111.834253476569,1.774253476569,QUAL3,12494,QUAL3
2025-10-20,31111.834253476569,1.774253476569,QUAL3,12494,QUAL3
2025-10-21,31611.594253476564,1.774253476569,QUAL3,12494,QUAL3
2025-10-22,30612.074253476570,1.774253476569,QUAL3,12494,QUAL3
2025-10-23,32486.174253476569,1.774253476569,QUAL3,12494,QUAL3
2025-10-24,33110.874253476570,1.774253476569,QUAL3,12494,QUAL3
2025-10-27,33610.634253476572,1.774253476569,QUAL3,12494,QUAL3
2025-10-28,33985.454253476571,1.774253476569,QUAL3,12494,QUAL3
2025-10-29,33485.694253476577,1.774253476569,QUAL3,12494,QUAL3
2025-10-30,33735.574253476574,1.774253476569,QUAL3,12494,QUAL3
2025-10-31,33860.514253476569,1.774253476569,QUAL3,12494,QUAL3
2025-11-03,32860.994253476572,1.774253476569,QUAL3,12494,QUAL3
2025-11-04,33110.874253476570,1.774253476569,QUAL3,12494,QUAL3
2025-11-05,31736.534253476570,1.774253476569,QUAL3,12494,QUAL3
2025-11-06,31611.594253476564,1.774253476569,QUAL3,12494,QUAL3
2025-11-07,30861.954253476571,1.774253476569,QUAL3,12494,QUAL3
2025-11-10,31303.091837976826,36.991837976825,CSMG3,830,CSMG3
2025-11-11,31485.691837976825,36.991837976825,CSMG3,830,CSMG3
2025-11-12,31809.391837976826,36.991837976825,CSMG3,830,CSMG3
2025-11-13,32074.991837976824,36.991837976825,CSMG3,830,CSMG3
2025-11-14,32697.491837976824,36.991837976825,CSMG3,830,CSMG3
2025-11-17,33061.465283506041,5.102538408003,RADL3,1459,RADL3
2025-11-18,33833.877048211922,5.102538408003,RADL3,1459,RADL3
2025-11-19,33190.200577623691,5.102538408003,RADL3,1459,RADL3
2025-11-21,32732.475087427607,5.102538408003,RADL3,1459,RADL3
2025-11-24,32407.802151374915,15.302151374916,WEGE3,750,WEGE3
2025-11-25,32235.302151374915,15.302151374916,WEGE3,750,WEGE3
2025-11-26,33315.302151374919,15.302151374916,WEGE3,750,WEGE3
2025-11-27,33052.802151374919,15.302151374916,WEGE3,750,WEGE3
2025-11-28,33202.802151374919,15.302151374916,WEGE3,750,WEGE3
2025-12-01,34400.217104888427,13.137104888423,CSMG3,804,CSMG3
2025-12-02,35075.577104888427,13.137104888423,CSMG3,804,CSMG3
2025-12-03,34544.937104888428,13.137104888423,CSMG3,804,CSMG3
2025-12-04,34496.697104888422,13.137104888423,CSMG3,804,CSMG3
2025-12-05,33580.137104888425,13.137104888423,CSMG3,804,CSMG3
2025-12-08,33660.386298592552,20.856886827843,RADL3,1472,RADL3
